fluvius;fluvius, ī, m. a large flow (usually of water): a river, stream, flow, gush
insula;īnsula, ae, f. a land form surrounded by water on all sides: an island, isle
oppidum;oppidum, ī, n. where many people dwell close together: a settlement, town, city, village
oceanus;oceanus, ī, m. the body of water that the ancients supposed flowed around the edge of the world: the ocean
provincia;prо̄vincia, ae, f. a distinct region under the control of a larger empire: province, territory, state
numerus;numerus, ī, m. a symbol signifying a quantity: a number, figure
capitulum;capitulum, ī, n. a major division in a book: a chapter, section
lapis;lapis, lapidis, m. a distinct piece of hard mineral: a stone, pebble, rock, boulder, crag
vir;vir, virī, m. an adult human of the male gender: man, male
femina;femina, ae, f. an adult human of the female gender: woman, female
sermo;sermo, sermonis, m.   the act or product of communicating by speech: speech, conversation, talk, discourse
magnus;magnus, a, um of great size or importance: large, great, big, grand
pensum;"pensum, ī, n. an amount of work allotted for one day: an assignment, allotment, task; exercise, homework"
parvus;parvus, a, um of small size or importance: small, little, trifling, wee
multus;multus, a, um of great number or quantity: numerous, much, many
paucus;paucus, a, um of small number or quantity: scarce, few, little, scant
Graecus;graecus, a, um related to the greek language or ethnicity: greek, hellenic
Romanus;rо̄mānus, a, um related to the city of rome: roman
imperium;"imperium, ī, n. (lit.) the command, but often meaning the territory under one's command: command, order; (of land) empire, realm"
Latinus;latīnus, a, um related to the language of latium (in central italy): latin
littera;littera, ae, f. a symbol representing a phonetic sound: a letter, character, rune
vocabulum;vocābulum, ī, n. the smallest unit of language that has meaning: vocabulary word, designation, appellation
in;in  (+ abl) located within or upon: in, on, within, inside
quid;"quid ? (gen, sg:  cuius ; dat, sg:  cui ; abl, sg:  quо̄ ) what thing: what?"
ubi;ubi? in what location: where, in what location
villa;vīlla, ae, f. a large house in the country: farm house, country house, villa
hortus;hortus, ī, m. a place where plants or trees are grown for food or beauty: a garden, flower garden, vegetable garden, orchard, park
rosa;rosa, ae, f. a thorny plant with a beautiful red flower: rose bush, rose
lilium;līlium, ī, n. a plant that frequently grows by the water's edge with a white flower: lily
nasus;nāsus, ī, m. the part of the body used for smelling: nose
atrium;ātrium, ī, n. the main room in a roman villa: the atrium, hall, main room
impluvium;impluvium, ī, n. a recess in the floor of the atrium designed to hold water: indoor cistern, pool
aqua;aqua, ae, f. the liquid to life: water
cubiculum;cubiculum, ī, n. a room specifically used for sleeping: a bedroom
fenestra;fenestra, ae, f. an opening in the wall for light and air: window
cibus;cibus, ī, m. that which is meant to eat: food, provisions, meat
pulcher;pulcher, pulchra, pulchrum that which is attractive, especially in appearance: good looking, attractive, beautiful, handsome
foedus;foedus, a, um that which is unattractive: unattractive, displeasing, ugly (applies to appearance, smells, sounds, etc.)
solus;sо̄lus, a, um  (gen.  sо̄lius,  dat.  sо̄lī) that which is not with others: alone, solitary, sole, lone
habitat;habito, habitāre to have a place as a place to live: to dwell, inhabit
amat;"amo, amāre to have affection for something, with either a positive or negative sense: (neutral) to love; (positive) to cherish; (negative) to lust for"
carpit;carpo, carpere, carpsī, carptum to take something by breaking it off: to pick, pluck, break off
delectat;delecto, delectāre to cause delight in someone: to please, delight
nihil;nihil, n. the absence of everything: nothing, nought
agit;ago, agere, ēgī, actum to perform an activity: to do, perform, act, carry out
cum;"cum  (+ abl) in close proximity or possession of something: (of people) with; (of a thing) in possession of examples: cum deliā = with delia cum baculo = in possession of a walking stick"
sine;sine  (+ abl) not in possession of something: without, bereft of, separated from
a(b);ab, ā  (+ abl) shows movement apart: from, away from
e(x);"ex, ē  (+ abl) shows outward movement: out of, out from, off of; resulting from"
via;via, ae, f. a permanent route between two places: a road, highway, path, street, etc.
circum;circum  (+ acc.) shows position or movement in a circle around: around, about, encircling
murus;mūrus, ī, m. a permanent defensive structure positioned around a city: wall, city wall
per;"per  (+ acc.) shows movement through the middle of something or position throughout the middle of something: through; throughout"
porta;porta, ae, f. a large opening in a wall: gate, city gate
equus;"equus, ī, m. a horse or any large quadruped with some horselike features: horse; hippo, rhinoceros, etc."
vehit;veho, vehere, vexī, vectum (of vehicles and animals) to transport: (of vehicles or animals) to carry, convey, haul
umerus;umerus, ī, m. the joint where the arm meets the torso: the shoulder, upper arm
lectica;lectīca, ae, f. a passenger vehicle carried on poles by slaves: a litter, sedan
portat;porto, portāre to transport by animal or by hand: to carry, convey, transport, haul
inimicus;"inimīcus, ī, m. one who is hostile, whether personally or publicly: (personally) a rival, personal enemy; (publicly) enemy, foe"
longus;"longus, a, um of great length: long; (of height in persons) tall"
intrat;intro, intrāre to bring oneself within the bounds of a place: to go in, enter
it;eo, īre, iī, ītum to go by any means: go, travel
ad;"ad  (+ acc) shows movement towards or position near: (movement) toward, to, at, in the direction of; (position) at, by, next to"
ante;"ante  (+ acc.) shows position in front of or time before: (position) in front of, before; (time) before, prior to"
post;"post  (+ acc.) shows position behind or time after: (position) behind, after, following; (time) after, later than"
prope;prope  (+ acc.) shows position close to something: close to, near, in proximity to
procul;procul shows great distance: far, distant, a long ways
inter;"inter  (+ acc.) shows position in the middle of: between (two things); among (many things)"
amica;"amīca, ae, f. a woman who is liked: (for another woman) a friend; (for a man) a girlfriend"
fessus;fessus, a, um worn out by exertion: exhausted, worn out, tired, weary
quo;quo? question asking for destination: to what place? whither?
oculus;oculus, ī, m. the part of the body that sees: the eye
lacrima;lacrima, ae, f. the salty water shed from an eye: tear, teardrop
speculum;"speculum, ī, n. a tool with polished metal used to view one's reflection: a mirror, looking glass; (generally) a reflection"
ostiarius;ostiārius, ī, m. a servant whose job it was to watch the door and let people in: a doorman, porter
malum;"mālum, ī, n. any round fruit, but especially the fruit of the apple tree: an apple; (generally) fruit"
pirum;pīrum, ī, n. the fruit of the pear tree: a pear
formosus;formо̄sus, a, um (lit.) that which has an attractive shape: shapely, well formed, good looking
plenus;plēnus, a, um that which has been filled: full, filled
exspectat;exspecto, exspectāre (lit.) to watch out for something, with the idea of waiting: to keep a look out for, await, expect
pila;pila, ae, f. a spherical toy formed of sewn leather, designed to be thrown or struck: a ball
tenet;teneo, tenēre, tenuī‚ tentum to retain within one's grasp: to hold, hold on to, grip, retain
lacrimat;lacrimo, lacrimāre to shed tears: to weep, shed tears
claudit;claudo, claudere, clausī, clausum to cause something to become closed or covered: to close, cover up, enclose, shut
vertit;verto, vertere, vertī, versum to cause something to be pointing a different way: to turn, rotate, pivot
terget;tergeo, tergēre, tersī, tersum to pass a hand or cloth over something so as to make it clean or dry: to wipe, wipe clean, rub, dry
dat;do, dare, dedī, dātum to put something into the possession of someone: to give, hand over, transfer
currit;curro, currere, cucurrī, cursum to travel quickly on foot: to run, sprint, dash
exit;exeo, exīre , exiī, exitum to go out of a place: to go out, exit, get (oneself) out of
advenit;advenio, advenīre, advēnī, adventum to come to a destination: to arrive, come to, pull in
inest;insum, inesse, infuī, infutūrum to be within or on top of something: to be in, to be on, to be inside
puer;puer, pueri, m.   a human, not yet adult, usually of the male gender: boy, lad, child
puella;puella, ae, f.   a human, not yet adult, of the female gender: girl, lass
familia;"familia, ae, f.  the household (including slaves): family, house; (of slaves alone) staff"
pater;pater, patris, m.  the one who begat a child: father, dad, progenitor: (of more distant relationships) ancestor
mater;māter, mātris, f.  the one who gave birth to a child: mother, mom
filius;filius, ī, m.  a male person in respect to his parents: son
filia;filia, ae, f.  (dat/abl, pl:  filiabus ) a female person in respect to her parents: daughter
liberi;līberī, līberо̄rum, m., pl.  multiple people in respect to their parents: children, progeny, brood, spawn
servus;servus, ī, m.  one who serves a master: a servant, slave
dominus;dominus, ī, m.  one who owns (a property or servants): master, owner, lord
domina;domina, ae, f.  a woman who owns (a property or servants): mistress, lady
ancilla;ancilla, ae, f.  a woman who serves: maidservant, maid
liber;liber, librī, m.  a written work contained in a scroll or codex: book, scroll, volume
titulus;titulus, ī, m.  a few words written to describe what something is: a title, label, caption, notice
pagina;pāgina, ae, f.  a leaf of papyrus: a leaf, sheet, page, scrap
novus;novus, a, um  of recent time: new, recent, modern
antiquus;antīquus, a, um  of a former time: ancient, olden
ceteri;cēterī, ae, a  that have not yet been accounted for: the remaining, the rest
meus;meus, a, um  that belongs to me: my, mine, belonging to me
tuus;tuus, a, um  that belongs to you: your, yours, belonging to you
quis;quis?   general question asking what person: who?
quae;quae?  question asking what woman: who?
qui;quī?  the question asking what persons: what persons, who
cuius;cuius  the question asking belonging to whom: belonging to whom, whose, of whom
quot;quot  question asking what number: what number, how many
digitus;"digitus, ī, m. small appendage on the hand or foot: finger, toe; (generally) digit"
anulus;ānulus, ī, m. a circular piece of jewelry, especially worn on the finger: ring, band
collum;collum, ī, n. the bridge between the head and the torso: the neck
ornamentum;о̄rnāmentum, ī, n. anything that adorns: a piece of jewelry, ornament, embellishment, etc.
ornat;о̄rno, о̄rnāre to make something beautiful especially by adding something to it: to adorn, decorate, beautify
taberna;taberna, ae, f. a temporary or permanent place to sell: a booth, shop, store
tabernarius;tabernārius, ī, m. one who sells in a  taberna : a seller, shopkeeper, clerk
pretium;"pretium, ī, n. the amount of money merchandise or a service costs or is worth: (valued) cost, price, value, worth; (given) payment, prize, reward, remuneration"
pretiosus;pretiо̄sus, a, um that has great value: costly, expensive, valuable, precious
gemma;gemma, ae, f. a precious stone, especially after it is has been cut: a gem, jewel, precious stone
linea;līnea, ae, f. flax threads spun into a string: string, line, cord
margarita;margarīta, ae, f. the stone-like jewel that originates in shellfish: pearl
pecuniosus;pecūniо̄sus, a, um that has a lot of money or means: wealthy, moneyed, well-off, well-to-do 
vendit;"vendo, vendere, vendidī, venditum to make a business of providing goods or services in exchange for compensation: (to make goods available) to be a seller, to deal in, retail; (to make a sale) to sell, trade, unload, etc. "
emit;emo, emere, ēmī, emptum to take possession of something, especially in exchange for money: to buy, purchase, acquire, take
monstrat;monstro, monstrāre to bring attention to something, especially by pointing: to point out, indicate
aspicit;aspicio, aspicere, aspēxī, aspectum to actively direct one's eyes to something: to look at, gaze upon, stare at, watch
accipit;accipio, accipere, accēpī, acceptum to take into one's possession: to receive, take, accept
consistit;consisto, consistere, constitī to come to a complete stop: to stop, halt
abit;abeo, abīre, abiī, abitum to move oneself away: to go away, depart
medius;medius, a, um located in the midst of something: middle, center, central
ostendit;ostendo, ostendere, ostendī, ostensum to put something out so it may be seen: to show, exhibit, display, hold up
convenit;convenio, convenīre, convēnī, conventum (lit.) to come together, but often with the sense of something being suitable: to fit, be appropriate, be suitable
clamat;clamo, clamāre to raise one's voice: to shout, yell, scream
constat;consto, constāre, constitī  (+ gen. of general price) (lit.) to be set in place: to be set at a price, to cost examples: magni constat (it costs alot) parvi constat (it costs little) quanti constat? (how much does it cost?)
campus;campus, ī, m. an open place, usually covered in grass: a meadow, field, clearing, glade
herba;herba, ae, f. (lit.) a blade of grass, but often referring to grass in general: grass, herb
ovis;ovis, ovis, f. a sheep either of the female or unspecified gender: sheep, ewe
pastor;pastor, pastо̄ris, m. one who watches herd animals of any sort: a herdsman, shepherd, cowherd, swineherd, etc.
canis;canis, is, c.  (c. is short for common gender, that is, masculine or feminine depending on the canis) domesticated canine: dog, hound, canine
panis;pānis, is, m. food made from a baked mixture of grain flour: bread, loaf of bread
cibus;cibus, ī, m. that which is eaten: food, meal, victuals
mons;mons, montis, m. an steeply elevated land mass: mountian, mount, butte
vallis;vallis, is, f. a low place between mountains or hills: a valley, hollow, ravine
collis;collis, is, m. a small mountain: hill, hillock, mound
arbor;arbor arboris f a large plant with bark on the trunk: a tree, shrub, bush
lupus;lupus, ī, m. a wild canine: wolf, wild dog
sol;sо̄l, sо̄lis, m. the light source of the day: the sun
caelum;caelum, ī, n. (from an ancient perspective) the highest part of the world: sky, heavens
terra;terra, ae, f. (from an ancient perspective) the middle part of the world: land, earth, ground
nubes;nūbēs, nūbis, f. water vapor in the sky: cloud, mist
umbra;umbra, ae, f. where light is conspicuously absent: shadow, shade
vestigium;vestīgium, ī, n. a visible place where something (especially a foot) used to be: a track, print, vestige
timor;timor, timо̄ris, m. anxiety arising from the anticipation of pain or death: fear, terror, anxiety
dens;dēns, dentis, m. boney structure in or coming out of the mouth: tooth, fang, tusk
clamor;clāmor, clāmо̄ris, m. a raised voice: a shout, yell, holler, clamor
silva;silva, ae, f. an area densely populated with trees and undergrowth: a forest, wood, thicket
niger;nīger, nīgra, nīgrum of a dark (often glossy color): black, jet black, pitch black
albus;albus, a, um of a dull, white color: white
est;edo, ēsse, ēdī, ēsum to ingest (food) through the mouth: to eat, consume, devour
bibit;bibo, bibere, bībī, bibitum to ingest (beverage): to drink, imbibe, guzzle
lucet;lūceo, lūcēre, lūxī to emit light: to shine, glow, gleam
