Symbol,Weight,PotCharges,Name,Type,MeltingPt,BoilingPt,Phase
H,1.007944,[1],Hydrogen,Nonmetal,14.175,20.28,gas
He,4.0026022,[0],Helium,Noble Gas,None,4.22,gas
Li,6.9412,[1],Lithium,Alkali Metal,453.85,1615,solid
Be,9.0121823,[2],Beryllium,Alkaline Earth Metal,1560.15,2742,solid
B,10.8117,"[-3, 3]",Boron,Metalloid,2573.15,4200,solid
C,12.01078,[4],Carbon,Nonmetal,3948.15,4300,solid
N,14.00672,[-3],Nitrogen,Nonmetal,63.29,77.36,gas
O,15.99943,[-2],Oxygen,Nonmetal,50.5,90.2,gas
F,18.99840325,[-1],Fluorine,Halogen,53.63,85.03,gas
Ne,20.17976,[0],Neon,Noble Gas,24.703,27.07,gas
Na,22.98976928,[1],Sodium,Alkali Metal,371.15,1156,solid
Mg,24.30506,[2],Magnesium,Alkaline Earth Metal,923.15,1363,solid
Al,26.98153868,[3],Aluminum,Metal,933.4,2792,solid
Si,28.08553,"[4, -4]",Silicon,Metalloid,1683.15,3538,solid
P,30.9737622,"[5, 3, -3]",Phosphorus,Nonmetal,317.25,553,solid
S,32.0655,"[-2, 2, 4, 6]",Sulfur,Nonmetal,388.51,717.8,solid
Cl,35.4532,[-1],Chlorine,Halogen,172.31,239.11,gas
Ar,39.9481,[0],Argon,Noble Gas,83.96,87.3,gas
K,39.09831,[1],Potassium,Alkali Metal,336.5,1032,solid
Ca,40.0784,[2],Calcium,Alkaline Earth Metal,1112.15,1757,solid
Sc,44.9559126,[3],Scandium,Transition Metal,1812.15,3109,solid
Ti,47.8671,"[4, 3]",Titanium,Transition Metal,1933.15,3560,solid
V,50.94151,"[2, 3, 4, 5]",Vanadium,Transition Metal,2175.15,3680,solid
Cr,51.99616,"[2, 3, 6]",Chromium,Transition Metal,2130.15,2944,solid
Mn,54.9380455,"[2, 4, 7]",Manganese,Transition Metal,1519.15,2334,solid
Fe,55.8452,"[2, 3]",Iron,Transition Metal,1808.15,3134,solid
Co,58.9331955,"[2, 3]",Cobalt,Transition Metal,1768.15,3200,solid
Ni,58.69344,[2],Nickel,Transition Metal,1726.15,3186,solid
Cu,63.5463,"[1, 2]",Copper,Transition Metal,1357.75,2835,solid
Zn,65.382,[2],Zinc,Transition Metal,692.88,1180,solid
Ga,69.7231,[3],Gallium,Metal,302.91,2477,solid
Ge,72.641,"[-4, 2, 4]",Germanium,Metalloid,1211.45,3106,solid
As,74.921602,"[-3, 3, 5]",Arsenic,Metalloid,1090.15,887,solid
Se,78.963,"[-2, 4, 6]",Selenium,Nonmetal,494.15,958,solid
Br,79.9041,"[-1, 1, 5]",Bromine,Halogen,266.05,332,liq
Kr,83.7982,[0],Krypton,Noble Gas,115.93,119.93,gas
Rb,85.46783,[1],Rubidium,Alkali Metal,312.79,961,solid
Sr,87.621,[2],Strontium,Alkaline Earth Metal,1042.15,1655,solid
Y,88.905852,[3],Yttrium,Transition Metal,1799.15,3609,solid
Zr,91.2242,[4],Zirconium,Transition Metal,2125.15,4682,solid
Nb,92.906382,"[3, 5]",Niobium,Transition Metal,2741.15,5017,solid
Mo,95.962,"[3, 6]",Molybdenum,Transition Metal,2890.15,4912,solid
