submission_date,state,new_case,new_death,mortality,new_case_7,new_death_7,mortality_7,delta_c,delta_d,delta_c_7,delta_d_7
1/22/2020,AK,0,0,0,0,0,0,0,0,0,0
1/23/2020,AK,0,0,0,0,0,0,0,0,0,0
1/24/2020,AK,0,0,0,0,0,0,0,0,0,0
1/25/2020,AK,0,0,0,0,0,0,0,0,0,0
1/26/2020,AK,0,0,0,0,0,0,0,0,0,0
1/27/2020,AK,0,0,0,0,0,0,0,0,0,0
1/28/2020,AK,0,0,0,0,0,0,0,0,0,0
1/29/2020,AK,0,0,0,0,0,0,0,0,0,0
1/30/2020,AK,0,0,0,0,0,0,0,0,0,0
1/31/2020,AK,0,0,0,0,0,0,0,0,0,0
2/1/2020,AK,0,0,0,0,0,0,0,0,0,0
2/2/2020,AK,0,0,0,0,0,0,0,0,0,0
2/3/2020,AK,0,0,0,0,0,0,0,0,0,0
2/4/2020,AK,0,0,0,0,0,0,0,0,0,0
2/5/2020,AK,0,0,0,0,0,0,0,0,0,0
2/6/2020,AK,0,0,0,0,0,0,0,0,0,0
2/7/2020,AK,0,0,0,0,0,0,0,0,0,0
2/8/2020,AK,0,0,0,0,0,0,0,0,0,0
2/9/2020,AK,0,0,0,0,0,0,0,0,0,0
2/10/2020,AK,0,0,0,0,0,0,0,0,0,0
2/11/2020,AK,0,0,0,0,0,0,0,0,0,0
2/12/2020,AK,0,0,0,0,0,0,0,0,0,0
2/13/2020,AK,0,0,0,0,0,0,0,0,0,0
2/14/2020,AK,0,0,0,0,0,0,0,0,0,0
2/15/2020,AK,0,0,0,0,0,0,0,0,0,0
2/16/2020,AK,0,0,0,0,0,0,0,0,0,0
2/17/2020,AK,0,0,0,0,0,0,0,0,0,0
2/18/2020,AK,0,0,0,0,0,0,0,0,0,0
2/19/2020,AK,0,0,0,0,0,0,0,0,0,0
2/20/2020,AK,0,0,0,0,0,0,0,0,0,0
2/21/2020,AK,0,0,0,0,0,0,0,0,0,0
2/22/2020,AK,0,0,0,0,0,0,0,0,0,0
2/23/2020,AK,0,0,0,0,0,0,0,0,0,0
2/24/2020,AK,0,0,0,0,0,0,0,0,0,0
2/25/2020,AK,0,0,0,0,0,0,0,0,0,0
2/26/2020,AK,0,0,0,0,0,0,0,0,0,0
2/27/2020,AK,0,0,0,0,0,0,0,0,0,0
2/28/2020,AK,0,0,0,0,0,0,0,0,0,0
2/29/2020,AK,0,0,0,0,0,0,0,0,0,0
3/1/2020,AK,0,0,0,0,0,0,0,0,0,0
3/2/2020,AK,0,0,0,0,0,0,0,0,0,0
3/3/2020,AK,0,0,0,0,0,0,0,0,0,0
3/4/2020,AK,0,0,0,0,0,0,0,0,0,0
3/5/2020,AK,0,0,0,0,0,0,0,0,0,0
3/6/2020,AK,0,0,0,0,0,0,0,0,0,0
3/7/2020,AK,0,0,0,0,0,0,0,0,-0.020408163,0
3/8/2020,AK,0,0,0,0,0,0,0,0,-0.020408163,0
3/9/2020,AK,0,0,0,0,0,0,0,0,-0.020408163,0
3/10/2020,AK,0,0,0,0.142857143,0,0,-0.142857143,0,-0.020408163,0
3/11/2020,AK,0,0,0,0.142857143,0,0,0,0,-0.06122449,-0.020408163
3/12/2020,AK,0,0,0,0.142857143,0,0,0,0,-0.163265306,-0.020408163
3/13/2020,AK,1,0,0,0.142857143,0,0,0,0,-0.224489796,-0.020408163
3/14/2020,AK,0,0,0,0.428571429,0.142857143,0.071428571,-0.285714286,-0.142857143,-0.244897959,-0.020408163
3/15/2020,AK,0,0,0,1.142857143,0.142857143,0.071428571,-0.714285714,0,-0.265306123,-0.020408163
3/16/2020,AK,0,0,0,1.571428571,0.142857143,0.071428571,-0.428571429,0,-0.469387755,-0.020408163
3/17/2020,AK,2,1,0.5,1.857142857,0.142857143,0.071428571,-0.285714286,0,-0.734693878,-0.020408163
3/18/2020,AK,5,0,0,2,0.142857143,0.071428571,-0.142857143,0,-0.734693878,0.020408163
3/19/2020,AK,3,0,0,3.428571429,0.142857143,0.071428571,-1.428571429,0,-0.673469388,0.020408163
3/20/2020,AK,3,0,0,5.285714286,0.142857143,0.071428571,-1.857142857,0,-0.836734694,-0.020408163
3/21/2020,AK,1,0,0,5.571428571,0,0,-0.285714286,0.142857143,-0.959183674,-0.020408163
3/22/2020,AK,10,0,0,5.857142857,0,0,-0.285714286,0,-1.265306123,-0.040816327
3/23/2020,AK,13,0,0,7.428571429,0.285714286,0.020408163,-1.571428571,-0.285714286,-1.244897959,-0.06122449
3/24/2020,AK,4,0,0,8.571428571,0.285714286,0.020408163,-1.142857143,0,-0.877551021,-0.081632653
3/25/2020,AK,7,0,0,10.85714286,0.428571429,0.028811525,-2.285714286,-0.142857143,-0.959183674,-0.102040816
3/26/2020,AK,14,2,0.142857143,12.14285714,0.571428571,0.036330322,-1.285714286,-0.142857143,-1.040816327,-0.102040816
3/27/2020,AK,11,0,0,11.42857143,0.714285714,0.054187464,0.714285714,-0.142857143,-0.693877551,-0.020408163
3/28/2020,AK,17,1,0.058823529,12.28571429,0.714285714,0.054187464,-0.857142857,0,-0.530612245,-0.020408163
3/29/2020,AK,19,1,0.052631579,13.14285714,0.714285714,0.054187464,-0.857142857,0,-0.081632653,0.020408163
3/30/2020,AK,8,1,0.125,12.28571429,0.428571429,0.033779301,0.857142857,0.285714286,0.204081633,0.040816327
3/31/2020,AK,10,0,0,12.28571429,0.428571429,0.033779301,0,0,0.142857143,0.081632653
4/1/2020,AK,13,0,0,11.42857143,0.285714286,0.02537594,0.857142857,0.142857143,0.020408163,0.081632653
4/2/2020,AK,8,0,0,10.71428571,0.285714286,0.028061224,0.714285714,0,0.142857143,0.06122449
4/3/2020,AK,11,0,0,10.42857143,0.142857143,0.010204082,0.285714286,0.142857143,0,0
4/4/2020,AK,11,0,0,12.14285714,0.142857143,0.010204082,-1.714285714,0,-1.98254E-17,0
4/5/2020,AK,14,1,0.071428571,12.14285714,0.285714286,0.021193093,0,-0.142857143,-0.12244898,-0.020408163
4/6/2020,AK,6,0,0,12.28571429,0.428571429,0.037066108,-0.142857143,-0.142857143,-0.244897959,0
4/7/2020,AK,22,0,0,12.28571429,0.428571429,0.037066108,0,0,-0.265306122,-0.020408163
4/8/2020,AK,13,1,0.076923077,12.28571429,0.428571429,0.037066108,0,0,0.265306122,-0.020408163
4/9/2020,AK,9,1,0.111111111,12.42857143,0.285714286,0.026862027,-0.142857143,0.142857143,0.367346939,0.020408163
4/10/2020,AK,11,0,0,12.28571429,0.285714286,0.026862027,0.142857143,0,0.428571429,0.06122449
4/11/2020,AK,11,0,0,10.28571429,0.285714286,0.026862027,2,0,0.469387755,0.06122449
4/12/2020,AK,15,0,0,9.571428571,0.142857143,0.015873016,0.714285714,0.142857143,0.591836735,0.06122449
4/13/2020,AK,5,0,0,9.285714286,0,0,0.285714286,0.142857143,0.816326531,0.040816327
4/14/2020,AK,8,0,0,9,0,0,0.285714286,0,0.857142857,0.040816327
